Name,Amount (USD),Amount (TWD),Amount (INR),Amount (THB),Category,Date,Source,Currency Used
Disney+,15.14,485.52,"1,280.26",505.23,Subscriptions,2024-03-13,Discover It Cashback,USD
Buc-ee's,14.42,462.43,"1,219.37",481.2,Eating/Drinking Out,2024-03-13,Discover It Cashback,USD
Chat Patta,7.57,242.76,640.13,252.61,Eating/Drinking Out,2024-03-13,UFCU Platinum Cashback,USD
China Wok,10.89,349.23,920.87,363.4,Eating/Drinking Out,2024-03-14,UFCU Platinum Cashback,USD
Albertsons,16.45,527.54,"1,391.03",548.94,Groceries,2024-03-14,UFCU Platinum Cashback,USD
Albertsons,5.38,172.53,454.94,179.53,Groceries,2024-03-14,Chase Freedom Flex,USD
Chili's,15.84,507.97,"1,339.45",528.59,Eating/Drinking Out,2024-03-14,UFCU Platinum Cashback,USD
Carlsbad Caverns National Park Gift Shop,9.49,304.33,802.49,316.69,Miscellaneous,2024-03-15,Discover It Cashback,USD
La Regia,9.02,289.26,762.74,301,Eating/Drinking Out,2024-03-15,Chase Freedom Flex,USD
Monthly Service Fee,12,384.83,"1,014.73",400.45,Fees,2024-03-15,Chase Checking,USD
Carlsbad Caverns National Park,15,481.04,"1,268.42",500.56,Entertainment,2024-03-15,Chase Checking,USD
Google One,3.19,102.3,269.75,106.45,Subscriptions,2024-03-16,Discover It Cashback,USD
Odessa College,201.75,6469.92,"17,060.21","6,732.50",Education,2024-03-16,Discover It Cashback,USD
Lemon Grass,15.52,497.71,"1,312.39",517.91,Eating/Drinking Out,2024-03-16,UFCU Platinum Cashback,USD
International UFO Museum,7,224.48,591.93,233.59,Entertainment,2024-03-16,Chase Checking,USD
International UFO Museum Gift Shop,4.32,138.54,365.3,144.16,Miscellaneous,2024-03-16,Chase Freedom Flex,USD
Ruidoso Winter Park,41.11,1318.36,"3,476.31","1,371.86",Entertainment,2024-03-16,UFCU Platinum Cashback,USD
Budget Inn,19.15,614.12,"1,619.35",639.05,Travel,2024-03-16,UFCU Platinum Cashback,USD
Pizza 9 Alamagordo,15.12,484.88,"1,278.56",504.56,Eating/Drinking Out,2024-03-16,UFCU Platinum Cashback,USD
NTU Fee,79.75,2557.5,"6,743.75","2,661.30",Education,2024-03-16,UFCU Platinum Cashback,USD
Electricity and Internet,135.37,4341.18,"11,447.04","4,517.36",Utilities,2024-03-16,Chase Checking,USD
Juicery Plus,14.06,450.89,"1,188.93",469.19,Eating/Drinking Out,2024-03-17,UFCU Platinum Cashback,USD
iCloud+,2.99,95.89,252.84,99.78,Subscriptions,2024-03-17,Discover It Cashback,USD
Max,17.31,555.11,"1,463.75",577.64,Subscriptions,2024-03-17,Discover It Cashback,USD
Chevron,2.69,86.27,227.47,89.77,Eating/Drinking Out,2024-03-17,Chase Freedom Flex,USD
Target,23.98,769.01,"2,027.78",800.22,Subscriptions,2024-03-18,Chase Freedom Flex,USD
Bob Bullock Theater,15,481.04,"1,268.42",500.56,Entertainment,2024-03-19,Chase Checking,USD
Birkenstock,17.43,558.96,"1,473.90",581.65,Apparel,2024-03-21,Chase Freedom Flex,USD
Wheatsville Co-Op,7.24,232.18,612.22,241.6,Groceries,2024-03-21,Chase Freedom Flex,USD
Ultra Mobile,28.08,900.5,"2,374.48",937.04,Utilities,2024-03-22,Discover It Cashback,USD
Spotify,11.9,381.62,"1,006.28",397.11,Subscriptions,2024-03-22,Discover It Cashback,USD
Papua Coffee,5.5,176.38,465.09,183.54,Eating/Drinking Out,2024-03-22,UFCU Platinum Cashback,USD
Insurance Debt Protection,1.1,35.28,93.02,36.71,Fees,2024-03-22,UFCU Platinum Cashback,USD
TECO Houston,110,3527.59,"9,301.73","3,670.76",Travel,2024-03-22,Chase Checking,USD
CVS Pharmacy,18.28,586.22,"1,545.78",610.01,Miscellaneous,2024-03-22,Chase Checking,USD
Amazon,20.55,659.02,"1,737.73",685.76,Miscellaneous,2024-03-23,Discover It Cashback,USD
FlixBus,14.87,476.87,"1,257.42",496.22,Travel,2024-03-25,Discover It Cashback,USD
The Soup Peddler,15.78,506.05,"1,334.38",526.59,Eating/Drinking Out,2024-03-25,UFCU Platinum Cashback,USD
O's Cafe,8.64,277.08,730.61,288.32,Eating/Drinking Out,2024-03-25,UFCU Platinum Cashback,USD
Party,10,320.69,845.61,333.71,Entertainment,2024-03-25,Chase Checking,USD
Bob Bullock Theater,3,96.21,253.68,100.11,Eating/Drinking Out,2024-03-25,Chase Checking,USD
Netflix,16.77,537.8,"1,418.09",559.62,Subscriptions,2024-03-26,Discover It Cashback,USD
Target,22.59,724.44,"1,910.24",753.84,Groceries,2024-03-26,UFCU Platinum Cashback,USD
Target,19,609.31,"1,606.66",634.04,Groceries,2024-03-26,UFCU Platinum Cashback,USD
FedEx,11.1,355.97,938.63,370.41,Miscellaneous,2024-03-27,Chase Freedom Flex,USD
Target,19.4,622.14,"1,640.49",647.39,Groceries,2024-03-27,UFCU Platinum Cashback,USD
7-Eleven,7.99,256.23,675.64,266.63,Eating/Drinking Out,2024-03-29,UFCU Platinum Cashback,USD
Walgreens,8.65,277.4,731.45,288.65,Miscellaneous,2024-03-29,UFCU Platinum Cashback,USD
Walgreens,24.14,774.15,"2,041.31",805.56,Miscellaneous,2024-03-29,UFCU Platinum Cashback,USD
Chick-fil-A,6.47,207.49,547.11,215.91,Eating/Drinking Out,2024-03-29,UFCU Platinum Cashback,USD
Via 313,10.39,333.2,878.59,346.72,Eating/Drinking Out,2024-03-30,UFCU Platinum Cashback,USD
Monk's Momo,2,64.14,169.12,66.74,Eating/Drinking Out,2024-03-31,UFCU Platinum Cashback,USD
Rio Mart,19.45,623.74,"1,644.71",649.06,Eating/Drinking Out,2024-03-31,UFCU Platinum Cashback,USD
UT Overseas Insurance,103,3303.11,"8,709.80","3,437.16",Education,2024-03-31,UFCU Platinum Cashback,USD
CVS Pharmacy,3.19,102.3,269.75,106.45,Groceries,2024-03-31,UFCU Checking,USD
Monk's Momo,16.17,518.56,"1,367.35",539.6,Eating/Drinking Out,2024-03-31,UFCU Checking,USD
UT Overseas Insurance,150,4810.35,"12,684.17","5,005.58",Education,2024-03-31,UFCU Checking,USD
Wheatsville Co-Op,28.73,921.34,"2,429.44",958.73,Groceries,2024-04-01,UFCU Platinum Cashback,USD
GameOn! ATX,37.83,1213.17,"3,198.95","1,262.41",Entertainment,2024-04-01,Chase Checking,USD
Target,7.53,241.48,636.75,251.28,Groceries,2024-04-01,UFCU Checking,USD
NTU Tuition,1324.14,42463.85,"111,970.82","44,187.21",Education,2024-04-02,UFCU Checking,USD
Chat Patta,7.57,242.76,640.13,252.61,Eating/Drinking Out,2024-04-03,UFCU Platinum Cashback,USD
Chick-fil-A,3.24,103.9,273.98,108.12,Eating/Drinking Out,2024-04-03,UFCU Platinum Cashback,USD
O's Cafe,2.96,94.92,250.3,98.78,Eating/Drinking Out,2024-04-03,WF Checking,USD
RAM Austin Property Management,927.49,29743.68,"78,429.63","30,950.81",Rent,2024-04-03,WF Checking,USD
Birkenstock,17.43,558.96,"1,473.90",581.65,Apparel,2024-04-04,Chase Freedom Flex,USD
Chipotle,2.81,90.11,237.62,93.77,Eating/Drinking Out,2024-04-04,Chase Freedom Flex,USD
Wheatsville Co-Op,9,288.62,761.05,300.33,Groceries,2024-04-04,UFCU Platinum Cashback,USD
HEB,81.08,2600.15,"6,856.22","2,705.68",Groceries,2024-04-05,Chase Freedom Flex,USD
HEB,7.69,246.61,650.28,256.62,Groceries,2024-04-05,Chase Freedom Flex,USD
Target,4.52,144.95,382.22,150.83,Groceries,2024-04-05,WF Checking,USD
In-N-Out,7.09,227.37,599.54,236.6,Eating/Drinking Out,2024-04-06,Chase Freedom Flex,USD
Proton VPN,10.83,347.31,915.8,361.4,Subscriptions,2024-04-06,Discover It Cashback,USD
Man Pasand Supermarket,31.49,1009.85,"2,662.83","1,050.84",Groceries,2024-04-07,UFCU Platinum Cashback,USD
Chick-fil-A,6.69,214.54,565.71,223.25,Eating/Drinking Out,2024-04-08,UFCU Platinum Cashback,USD
Chili's,16.05,514.71,"1,357.21",535.6,Eating/Drinking Out,2024-04-08,SoFi Checking,USD
Chat Patta,8.71,279.32,736.53,290.66,Eating/Drinking Out,2024-04-12,UFCU Checking,USD
Disney+,15.14,485.52,"1,280.26",505.23,Subscriptions,2024-04-13,Discover It Cashback,USD
Rebel Cheese,23.65,758.43,"1,999.87",789.21,Eating/Drinking Out,2024-04-13,UFCU Platinum Cashback,USD
Premier Parking,4,128.28,338.24,133.48,Miscellaneous,2024-04-13,UFCU Platinum Cashback,USD
FlixBus,37.98,1217.98,"3,211.63","1,267.41",Travel,2024-04-14,UFCU Checking,USD
Google One,3.19,102.3,269.75,106.45,Subscriptions,2024-04-15,Discover It Cashback,USD
Chick-fil-A,9.45,303.05,799.1,315.35,Eating/Drinking Out,2024-04-15,UFCU Platinum Cashback,USD
Monthly Service Fee,10,320.69,845.61,333.71,Fees,2024-04-15,WF Checking,USD
Monthly Service Fee,12,384.83,"1,014.73",400.45,Fees,2024-04-15,Chase Checking,USD
iCloud+,2.99,95.89,252.84,99.78,Subscriptions,2024-04-16,Discover It Cashback,USD
Been,2.48,79.53,209.71,82.76,Miscellaneous,2024-04-16,Discover It Cashback,USD
Buffalo Exchange,17.86,572.75,"1,510.26",596,Miscellaneous,2024-04-17,UFCU Platinum Cashback,USD
CVS Pharmacy,3,96.21,253.68,100.11,Eating/Drinking Out,2024-04-17,Chase Checking,USD
Up & Atom,8.17,262,690.86,272.64,Eating/Drinking Out,2024-04-18,UFCU Platinum Cashback,USD
Target,12.21,391.56,"1,032.49",407.45,Groceries,2024-04-18,UFCU Platinum Cashback,USD
Arlo's,28,897.93,"2,367.71",934.37,Eating/Drinking Out,2024-04-18,UFCU Platinum Cashback,USD
Chick-fil-A,2.98,95.57,251.99,99.44,Eating/Drinking Out,2024-04-20,UFCU Platinum Cashback,USD
Chipotle,10,320.69,845.61,333.71,Eating/Drinking Out,2024-04-20,Chase Checking,USD
Exxon,4.29,137.58,362.77,143.16,Eating/Drinking Out,2024-04-21,Chase Freedom Flex,USD
Uber,9.44,302.73,798.26,315.02,Travel,2024-04-21,Chase Freedom Flex,USD
Czech Stop,5.61,179.91,474.39,187.21,Eating/Drinking Out,2024-04-21,SoFi Checking,USD
